LAST SEEN   TYPE      REASON              OBJECT                                   MESSAGE
40m         Normal    Pulling             pod/nginx-gateway-32b-5d8fc6d7c-psrvp    Pulling image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1"
40m         Warning   Failed              pod/nginx-gateway-32b-5d8fc6d7c-psrvp    Failed to pull image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1": failed to resolve image: docker.io/library/nginx@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1: not found
19m         Normal    Pulling             pod/nginx-gateway-32b-67cbbc9494-bqvgk   Pulling image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1"
19m         Warning   Failed              pod/nginx-gateway-32b-67cbbc9494-bqvgk   Failed to pull image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1": failed to resolve image: docker.io/library/nginx@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1: not found
4m8s        Normal    BackOff             pod/nginx-gateway-32b-67cbbc9494-bqvgk   Back-off pulling image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1"
4m8s        Warning   Failed              pod/nginx-gateway-32b-67cbbc9494-bqvgk   Error: ImagePullBackOff
58s         Warning   MissingClusterDNS   pod/vllm-32b-gptq-7d6dc7c64-r82nh        pod: "vllm-32b-gptq-7d6dc7c64-r82nh_aither-inference(bbb1e400-9e37-47c9-be9e-c48c09eca2e0)". kubelet does not have ClusterDNS IP configured and cannot create Pod using "ClusterFirst" policy. Falling back to "Default" policy.
45s         Normal    BackOff             pod/nginx-gateway-32b-5d8fc6d7c-psrvp    Back-off pulling image "nginx:alpine@sha256:343e2e1f84be5c2c3044fc00701a39497b8ddbc248b3e94e8bb1941836b7fda1"
45s         Warning   Failed              pod/nginx-gateway-32b-5d8fc6d7c-psrvp    Error: ImagePullBackOff
29s         Warning   MissingClusterDNS   pod/vllm-14b-instruct-7f6f784dcb-g2h5d   pod: "vllm-14b-instruct-7f6f784dcb-g2h5d_aither-inference(ef1579c8-a0ec-4ea7-9cd6-77ff2b537c05)". kubelet does not have ClusterDNS IP configured and cannot create Pod using "ClusterFirst" policy. Falling back to "Default" policy.
