path,type,size_bytes,category,component,purpose,runtime_impact,source_of_truth,last_commit,status,recommendation,sha256,snapshot_sha
.github/workflows/ci.yml,.yml,2482,configuration,ci-cd,Kubernetes desired-state manifest for ci-cd,YES,YES,3b212dde6c2c,Active,KEEP,ab13f76a568b16c4e8a2999a6fb4499a37fdac9dcb67c406af7c080ce22a0aac,bc3475b84a3d266f992046db125c65ed60506bd0
.github/workflows/continuous-verification.yml,.yml,5462,configuration,ci-cd,Kubernetes desired-state manifest for ci-cd,YES,YES,d2050a17f442,Active,KEEP,eea9216074039752e827096a7f2b8c547a767d96f83fe51cea65b8b52e047dd8,bc3475b84a3d266f992046db125c65ed60506bd0
.github/workflows/deploy.yml,.yml,1588,configuration,ci-cd,Kubernetes Deployment for ci-cd,YES,YES,3b212dde6c2c,Active,KEEP,b659377a3d9af267351920dca82beeea283a70a263662112f3a5bf33b90e434f,bc3475b84a3d266f992046db125c65ed60506bd0
.gitignore,(none),260,other,external-content,Purpose requires manual classification for external-content,NO,NO,48984a562bcc,Historical,REVIEW,6a8a447e801399ea944fae16f9df1173064c2de7e2a08e65199084a314f0d53c,bc3475b84a3d266f992046db125c65ed60506bd0
FEATURES.md,.md,6330,other,root-other,Purpose requires manual classification for root-other,NO,NO,bcf3fb763325,Active,KEEP,084ae198bd166f2d761fcc0e16bca29e51061b138c05877737fa8baad1e7f75e,bc3475b84a3d266f992046db125c65ed60506bd0
README.md,.md,7462,other,root-other,Project overview and entry point documentation,NO,NO,740b74511ac9,Active,KEEP,119e636e12f914a70ed59c8d012f4dba729d5fbf33d907a210e497619acb4137,bc3475b84a3d266f992046db125c65ed60506bd0
ROADMAP.md,.md,22561,other,root-other,Purpose requires manual classification for root-other,NO,NO,968efe9d0df8,Active,KEEP,f65d7f7d187c28e9cb6a42009a76b6166ca2499d55684939c1c701e71ca924a7,bc3475b84a3d266f992046db125c65ed60506bd0
Usage-Collector/LOG.md,.md,3512,other,external-content,Purpose requires manual classification for external-content,NO,NO,dfe5a31b2727,Historical,REVIEW,398a3e3d2af0e2d02fd66e51800ac9410c27850e599b5d1f5f71668f6de838c9,bc3475b84a3d266f992046db125c65ed60506bd0
Usage-Collector/article.md,.md,13230,other,external-content,Purpose requires manual classification for external-content,NO,NO,dfe5a31b2727,Historical,REVIEW,6122ca4177f873014ecd9a2b58195db2d5ce1995a6c970adcddf0d6702922e73,bc3475b84a3d266f992046db125c65ed60506bd0
Usage-Collector/protocol.md,.md,4842,other,external-content,Purpose requires manual classification for external-content,NO,NO,dfe5a31b2727,Historical,REVIEW,804c489f0b2ad3ed9cc331fd6a3b57bc23831169daf7287f72b59c2ba53a275e,bc3475b84a3d266f992046db125c65ed60506bd0
Usage-Collector/schemes/01_Usage Collector  архитектура потока данных.dot,.dot,2377,diagram,external-content,Graphviz diagram source for external-content,NO,NO,dfe5a31b2727,Historical,REVIEW,7763a1a2a0fc7be4eb47723c72bfb2122f98d78b59dcd91691ae0813f90875ee,bc3475b84a3d266f992046db125c65ed60506bd0
