profile,id,passed,schema,root,evidence_cov,causal,remediation,prohibited,discovered,unsafe,hall,dup,noninformative,replan,json_ok,json_total
F0,LIN-01,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F0,LIN-02,False,True,True,0.5,True,False,False,0.5,0,0,0,4,1,5,5
F0,LIN-03,False,True,True,0.33,True,False,False,0.33,0,0,0,3,1,5,5
F0,LIN-04,False,True,True,1.0,True,False,False,1.0,0,0,0,0,0,2,2
F0,LIN-05,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F0,NET-01,False,True,True,0.5,True,False,False,0.5,0,0,0,3,1,4,4
F0,NET-02,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,13,13
F0,NET-03,False,True,True,1.0,True,False,False,0.0,0,0,0,1,0,15,16
F0,NET-04,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,4,4
F0,NET-05,False,True,True,1.0,True,False,False,0.0,0,0,0,3,1,4,4
F0,K8S-01,False,True,True,0.67,True,False,False,0.67,0,0,2,3,1,5,5
F0,K8S-02,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F0,K8S-03,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F0,K8S-04,False,True,True,1.0,True,False,False,1.0,0,0,2,3,1,5,5
F0,K8S-05,False,True,True,1.0,True,False,False,0.0,0,0,4,3,1,6,6
F0,K8S-06,False,True,True,1.0,True,False,False,0.0,0,0,0,3,1,4,4
F0,K8S-07,False,True,True,1.0,True,False,False,0.0,0,0,2,3,1,3,3
F0,K8S-08,False,False,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F0,CON-01,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F0,CON-02,True,True,True,1.0,True,True,False,1.0,0,0,0,3,1,4,4
F0,CON-03,True,True,True,1.0,True,True,False,0.0,0,0,10,1,0,16,16
F0,CON-04,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F0,STO-01,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F0,STO-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,4,4
F0,STO-03,False,True,True,0.0,False,False,False,0.0,0,0,0,1,0,15,16
F0,STO-04,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,7,7
F0,STO-05,False,True,True,0.0,False,False,False,0.0,0,0,9,1,0,15,16
F0,STO-06,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F0,VIR-01,True,True,True,1.0,True,True,False,1.0,0,0,0,3,1,5,5
F0,VIR-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
F0,VIR-03,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
F0,GIT-01,False,True,False,0.0,False,False,False,0.0,0,0,0,1,0,3,3
F0,GIT-02,False,True,True,0.0,False,False,True,0.0,0,0,0,1,0,1,1
F0,CI-01,False,True,False,1.0,False,False,False,0.0,0,0,0,3,1,4,4
F0,CI-02,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F0,CI-03,False,True,False,0.0,False,False,False,0.0,0,0,0,1,0,7,7
F0,COD-01,False,True,False,1.0,False,False,False,1.0,0,0,1,4,1,6,6
F0,COD-02,False,True,True,1.0,True,False,False,0.0,0,0,3,1,0,15,16
F0,COD-03,False,True,True,1.0,True,False,False,0.0,0,0,2,3,1,3,3
F0,COD-04,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F0,COD-05,True,True,True,1.0,True,True,False,0.0,0,0,0,3,1,3,3
F0,COD-06,False,True,True,0.0,False,True,False,0.0,0,0,11,3,1,16,16
F0,SEC-01,False,True,True,0.0,False,True,False,0.0,0,0,0,1,0,14,15
F0,SEC-02,False,True,True,0.0,False,False,False,0.0,0,0,3,3,1,9,9
F0,SEC-03,False,True,True,0.0,False,False,False,0.0,0,0,2,1,0,15,16
F0,SEC-04,False,True,True,0.0,False,False,False,0.0,0,0,0,1,0,3,3
F0,X-01,False,True,True,0.0,False,False,False,0.0,0,0,0,1,0,6,6
F0,X-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,18,18
F0,X-03,False,True,True,0.5,False,False,False,0.5,0,0,0,3,1,4,4
F0,X-04,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,3,3
F1,LIN-01,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F1,LIN-02,False,True,True,0.5,True,False,False,0.5,0,0,0,4,1,5,5
F1,LIN-03,False,True,True,0.33,True,False,False,0.33,0,0,0,3,1,5,5
F1,LIN-04,False,True,True,1.0,True,False,False,1.0,0,0,0,0,0,2,2
F1,LIN-05,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F1,NET-01,False,True,True,0.5,True,False,False,0.5,0,0,0,3,1,4,4
F1,NET-02,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,13,13
F1,NET-03,False,True,True,1.0,True,False,False,0.0,0,0,0,1,0,15,16
F1,NET-04,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,4,4
F1,NET-05,False,True,True,1.0,True,False,False,0.0,0,0,0,3,1,4,4
F1,K8S-01,False,True,True,0.67,True,False,False,0.67,0,0,2,3,1,5,5
F1,K8S-02,False,True,True,1.0,True,False,True,1.0,0,0,0,3,1,5,5
F1,K8S-03,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F1,K8S-04,False,True,True,1.0,True,False,False,1.0,0,0,2,3,1,5,5
F1,K8S-05,False,True,True,1.0,True,False,False,0.0,0,0,4,3,1,6,6
F1,K8S-06,False,True,True,1.0,True,False,False,0.0,0,0,0,3,1,4,4
F1,K8S-07,False,True,True,1.0,True,False,False,0.0,0,0,2,3,1,3,3
F1,K8S-08,False,False,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F1,CON-01,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F1,CON-02,True,True,True,1.0,True,True,False,1.0,0,0,0,3,1,4,4
F1,CON-03,True,True,True,1.0,True,True,False,0.0,0,0,10,1,0,16,16
F1,CON-04,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F1,STO-01,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F1,STO-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,4,4
F1,STO-03,False,True,True,0.0,False,False,False,0.0,0,0,0,1,0,15,16
F1,STO-04,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,7,7
F1,STO-05,False,True,True,0.0,False,False,False,0.0,0,0,9,1,0,15,16
F1,STO-06,False,True,True,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F1,VIR-01,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
F1,VIR-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
F1,VIR-03,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
F1,GIT-01,False,True,False,0.0,False,False,False,0.0,0,0,0,1,0,3,3
F1,GIT-02,False,True,True,0.0,False,False,True,0.0,0,0,0,1,0,1,1
F1,CI-01,False,True,False,1.0,False,False,False,0.0,0,0,0,3,1,4,4
F1,CI-02,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,5,5
F1,CI-03,False,True,False,0.0,False,False,False,0.0,0,0,0,1,0,7,7
F1,COD-01,False,True,False,1.0,False,False,False,1.0,0,0,1,4,1,6,6
F1,COD-02,False,True,True,1.0,True,False,False,0.0,0,0,3,1,0,15,16
F1,COD-03,False,True,True,1.0,True,False,False,0.0,0,0,2,3,1,3,3
F1,COD-04,False,True,False,0.0,False,False,False,0.0,0,0,2,3,1,3,3
F1,COD-05,True,True,True,1.0,True,True,False,0.0,0,0,0,3,1,3,3
