case_id,target_tokens,actual_tokens,duration_s,begin_found,mid_found,end_found,begin_frac,mid_frac,end_frac,root_correct,evidence_cov,hall,unsafe,json_ok,json_total,PASS_FAIL
LC-56K-01,56000,56077,242.1,True,True,True,0.0,0.471,0.999,False,0.0,0,0,16,17,FAIL
LC-56K-02,56000,56048,211.2,True,True,True,0.0,0.471,0.999,False,0.67,0,0,7,7,FAIL
LC-56K-03,56000,56050,322.8,True,True,True,0.0,0.471,0.999,False,0.0,0,0,15,15,FAIL
LC-56K-04,56000,56065,285.7,True,True,True,0.0,0.471,0.999,False,0.0,0,0,15,15,FAIL
LC-56K-05,56000,56060,242.3,True,True,True,0.0,0.471,0.999,False,0.0,0,0,13,14,FAIL
LC-58K-01,58000,58061,270.9,True,True,True,0.0,0.471,0.999,False,0.0,0,0,8,8,FAIL
LC-58K-02,58000,58061,253.6,True,True,True,0.0,0.471,0.999,False,0.0,0,0,16,17,FAIL
LC-58K-03,58000,58063,293.7,True,True,True,0.0,0.471,0.999,False,0.0,0,0,17,17,FAIL
LC-58K-04,58000,58060,264.0,True,True,True,0.0,0.471,0.999,False,0.33,0,0,17,18,FAIL
LC-58K-05,58000,58071,265.8,True,True,True,0.0,0.471,0.999,False,0.33,0,0,16,17,FAIL
LC-60K-01,60000,60049,265.4,True,True,True,0.0,0.471,0.999,False,0.0,0,0,11,12,FAIL
LC-60K-02,60000,60048,290.6,True,True,True,0.0,0.471,0.999,False,0.0,0,0,8,8,FAIL
LC-60K-03,60000,60046,265.2,True,True,True,0.0,0.471,0.999,False,0.0,0,0,11,12,FAIL
