test,tool_calls,json_valid,unknown,unsafe,malformed,finish_reason,error,note
basic_chat,0,0,0,0,0,stop,,
no_tool,0,0,0,0,0,stop,,
auto_0_read_file,1,1,0,0,0,tool_calls,,
auto_1_list_directory,1,1,0,0,0,tool_calls,,
auto_2_systemctl_status,1,1,0,0,0,tool_calls,,
auto_3_journalctl_read,1,1,0,0,0,tool_calls,,
auto_4_shell_readonly,1,1,0,0,0,tool_calls,,
forced_required,10,10,0,0,0,tool_calls,,
forced_specific_read_file,0,0,0,0,0,stop,,
multiturn_round1,1,1,0,0,0,tool_calls,,
multiturn_round2,0,0,0,0,0,stop,,
error_recovery,0,0,0,0,0,stop,,
multi_tool,2,2,0,0,0,tool_calls,,
