scenario_id,policy,router,call_index,round,tool,raw_args,normalized_args,json_valid,status,evidence_ids_revealed,new_information,duplicate,relevant,discovery_step,error_class,result_summary
LIN-01,full,p0,1,1,systemctl_status,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""systemctl_status"", ""key"": ""nginx"", ""text"": ""nginx.service failed; Active: failed""}]}"
LIN-01,full,p0,2,2,journalctl_read,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""journalctl_read"", ""key"": ""nginx"", ""text"": ""nginx: [emerg] bind() to 0.0.0.0:80 failed (98: Address already in use)""}]}"
LIN-01,full,p0,3,3,shell_readonly,"{""command"": ""netstat -tulpn | grep :80""}","{""command"": ""netstat -tulpn | grep :80""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""netstat""}"
LIN-01,full,p0,4,4,shell_readonly,"{""command"": ""ss -tulpn | grep :80""}","{""command"": ""ss -tulpn | grep :80""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ss""}"
LIN-01,full,p0,5,5,shell_readonly,"{""command"": ""lsof -i :80""}","{""command"": ""lsof -i :80""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""lsof""}"
LIN-02,full,p0,1,1,shell_readonly,"{""command"": ""df -h /var""}","{""command"": ""df -h /var""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""df""}"
LIN-02,full,p0,2,2,shell_readonly,"{""command"": ""du -sh /var/*""}","{""command"": ""du -sh /var/*""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""shell_readonly"", ""key"": ""du -sh /var/*"", ""text"": ""/var/log 48G""}]}"
LIN-02,full,p0,3,3,shell_readonly,"{""command"": ""du -sh /var/log/*""}","{""command"": ""du -sh /var/log/*""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""du""}"
LIN-02,full,p0,4,4,list_directory,"{""path"": ""/var/log""}","{""path"": ""/var/log""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-02,full,p0,5,5,grep_search,"{""pattern"": ""log"", ""path"": ""/var""}","{""path"": ""/var"", ""pattern"": ""log""}",True,empty,,False,False,False,False,,"{""empty"": true}"
