test,tool_calls,json_valid,unknown,unsafe,malformed,finish_reason,error,note
basic_chat,0,0,0,0,0,stop,,
no_tool,0,0,0,0,0,stop,,
auto_0_read_file,1,1,0,0,0,tool_calls,,
auto_1_list_directory,1,1,0,0,0,tool_calls,,
auto_2_systemctl_status,1,1,0,0,0,tool_calls,,
auto_3_journalctl_read,1,1,0,0,0,tool_calls,,
auto_4_shell_readonly,1,1,0,0,0,tool_calls,,
auto_5_grep_search,1,1,0,0,0,tool_calls,,
auto_6_kubectl_get,1,1,0,0,0,tool_calls,,
auto_7_kubectl_describe,1,1,0,0,0,tool_calls,,
auto_8_kubectl_logs,1,1,0,0,0,tool_calls,,
auto_9_git_status,1,1,0,0,0,tool_calls,,
auto_10_git_diff,1,1,0,0,0,tool_calls,,
auto_11_git_show,1,1,0,0,0,tool_calls,,
auto_12_http_get,1,1,0,0,0,tool_calls,,
auto_13_dns_lookup,1,1,0,0,0,tool_calls,,
forced_required,1,1,0,0,0,tool_calls,,
forced_specific_read_file,1,1,0,0,0,stop,,
multiturn_round1,1,1,0,0,0,tool_calls,,
multiturn_round2,0,0,0,0,0,stop,,
error_recovery,1,1,0,0,0,tool_calls,,
multi_tool,2,2,0,0,0,tool_calls,,
