scenario_id,policy,router,call_index,round,tool,raw_args,normalized_args,json_valid,status,evidence_ids_revealed,new_information,duplicate,relevant,discovery_step,error_class,result_summary
LIN-01,full,p0,1,1,systemctl_status,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""systemctl_status"", ""key"": ""nginx"", ""text"": ""nginx.service failed; Active: failed""}]}"
LIN-01,full,p0,2,2,journalctl_read,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""journalctl_read"", ""key"": ""nginx"", ""text"": ""nginx: [emerg] bind() to 0.0.0.0:80 failed (98: Address already in use)""}]}"
LIN-02,full,p0,1,1,shell_readonly,"{""command"": ""df -h""}","{""command"": ""df -h""}",True,revealed,E1,True,False,True,True,,"{""revealed"": [{""id"": ""E1"", ""tool"": ""shell_readonly"", ""key"": ""df -h"", ""text"": ""/var 100% used""}]}"
LIN-02,full,p0,2,2,shell_readonly,"{""command"": ""du -sh /var/*""}","{""command"": ""du -sh /var/*""}",True,revealed,E2,True,False,True,True,,"{""revealed"": [{""id"": ""E2"", ""tool"": ""shell_readonly"", ""key"": ""du -sh /var/*"", ""text"": ""/var/log 48G""}]}"
LIN-02,full,p0,3,3,shell_readonly,"{""command"": ""ls -l /var/log""}","{""command"": ""ls -l /var/log""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-02,full,p0,4,4,shell_readonly,"{""command"": ""ls -la /var/log""}","{""command"": ""ls -la /var/log""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""ls""}"
LIN-02,full,p0,5,5,shell_readonly,"{""command"": ""find /var/log -type f -size +100M -exec ls -lh {} \\\\;""}","{""command"": ""find /var/log -type f -size +100M -exec ls -lh {} \\\\;""}",True,unsupported_command,,False,False,False,False,,"{""unsupported_command"": true, ""family"": ""find""}"
LIN-03,full,p0,1,1,systemctl_status,"{""service"": ""cron""}","{""service"": ""cron""}",True,empty,,False,False,False,False,,"{""empty"": true}"
LIN-03,full,p0,2,1,journalctl_read,"{""service"": ""cron""}","{""service"": ""cron""}",True,revealed,E3,True,False,True,True,,"{""revealed"": [{""id"": ""E3"", ""tool"": ""journalctl_read"", ""key"": ""cron"", ""text"": ""backup.sh: /data: No such file or directory""}]}"
LIN-03,full,p0,3,1,grep_search,"{""pattern"": ""2am"", ""path"": ""/etc/crontab""}","{""path"": ""/etc/crontab"", ""pattern"": ""2am""}",True,empty,,True,False,False,False,,"{""empty"": true}"
