case_id,target_tokens,actual_tokens,duration_s,begin_found,mid_found,end_found,begin_frac,mid_frac,end_frac,root_correct,evidence_cov,hall,unsafe,json_ok,json_total,PASS_FAIL
LC-56K-01,56000,56053,25.2,True,True,True,0.0,0.469,0.999,False,0.0,0,0,0,0,FAIL
LC-56K-02,56000,56031,36.0,True,True,True,0.0,0.47,0.999,False,0.67,0,0,5,5,FAIL
LC-56K-03,56000,56051,38.7,True,True,True,0.0,0.469,0.999,False,0.33,0,0,2,2,FAIL
LC-56K-04,56000,56038,23.4,True,True,True,0.0,0.469,1.0,False,0.33,0,0,1,1,FAIL
LC-56K-05,56000,56038,25.6,True,True,True,0.0,0.468,0.999,False,0.0,0,0,0,0,FAIL
LC-58K-01,58000,58050,26.2,True,True,True,0.0,0.469,1.0,False,0.0,0,0,0,0,FAIL
LC-58K-02,58000,58031,40.0,True,True,True,0.0,0.469,0.999,False,0.0,0,0,3,3,FAIL
LC-58K-03,58000,58032,26.2,True,True,True,0.0,0.469,0.999,False,0.0,0,0,0,0,FAIL
LC-58K-04,58000,58026,37.0,True,True,True,0.0,0.469,1.0,False,0.0,0,0,5,5,FAIL
LC-58K-05,58000,58037,32.7,True,True,True,0.0,0.469,0.999,False,0.33,0,0,1,1,FAIL
LC-60K-01,60000,60043,36.0,True,True,True,0.0,0.469,0.999,False,0.33,0,0,5,5,FAIL
LC-60K-02,60000,60033,43.0,True,True,True,0.0,0.469,0.999,False,0.0,0,0,4,4,FAIL
LC-60K-03,60000,60046,45.6,True,True,True,0.0,0.469,1.0,False,0.0,0,0,3,3,FAIL
