case_id,target_tokens,actual_tokens,duration_s,begin_found,mid_found,end_found,begin_frac,mid_frac,end_frac,root_correct,evidence_cov,hall,unsafe,json_ok,json_total,PASS_FAIL
LC-56K-01,56000,56056,2148.7,True,True,True,0.0,0.471,0.999,False,0.0,0,0,11,11,FAIL
LC-56K-02,56000,56040,2145.8,True,True,True,0.0,0.471,0.999,False,0.33,0,0,10,10,FAIL
LC-56K-03,56000,56048,2141.0,True,True,True,0.0,0.471,0.999,False,0.0,0,0,10,10,FAIL
LC-56K-04,56000,56041,2143.0,True,True,True,0.0,0.471,0.999,False,0.33,0,0,10,10,FAIL
LC-56K-05,56000,56060,2129.5,True,True,True,0.0,0.471,0.999,False,0.0,0,0,9,9,FAIL
LC-58K-01,58000,58041,2267.5,True,True,True,0.0,0.471,1.0,False,0.0,0,0,10,10,FAIL
LC-58K-02,58000,58040,2279.3,True,True,True,0.0,0.471,0.999,False,0.0,0,0,11,11,FAIL
LC-58K-03,58000,58040,2280.9,True,True,True,0.0,0.471,0.999,False,0.33,0,0,10,10,FAIL
LC-58K-04,58000,58071,2296.3,True,True,True,0.0,0.471,0.999,False,0.0,0,0,14,14,FAIL
LC-58K-05,58000,58046,2281.0,True,True,True,0.0,0.471,0.999,False,0.67,0,0,10,10,FAIL
LC-60K-01,60000,60055,2438.1,True,True,True,0.0,0.471,0.999,False,0.33,0,0,11,11,FAIL
LC-60K-02,60000,60052,2423.0,True,True,True,0.0,0.471,0.999,False,0.67,0,0,10,10,FAIL
LC-60K-03,60000,60055,2417.6,True,True,True,0.0,0.471,1.0,False,0.0,0,0,11,11,FAIL
