router,id,groups,req,recall,precision,f1,missed
P0,LIN-01,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,LIN-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,LIN-03,['LINUX'],"['FILES', 'LINUX']",0.5,1.0,0.67,['FILES']
P0,LIN-04,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,LIN-05,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,NET-01,['NETWORK'],"['LINUX', 'NETWORK']",0.5,1.0,0.67,['LINUX']
P0,NET-02,['NETWORK'],"['LINUX', 'NETWORK']",0.5,1.0,0.67,['LINUX']
P0,NET-03,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P0,NET-04,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P0,NET-05,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P0,K8S-01,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,K8S-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,K8S-03,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,K8S-04,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
P0,K8S-05,['LINUX'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['KUBERNETES']
P0,K8S-06,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,K8S-07,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,K8S-08,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P0,CON-01,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,CON-02,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']",['LINUX'],1.0,0.2,0.33,[]
P0,CON-03,"['KUBERNETES', 'NETWORK']","['LINUX', 'NETWORK']",0.5,0.5,0.5,['LINUX']
P0,CON-04,['KUBERNETES'],['LINUX'],0.0,0.0,0,['LINUX']
P0,STO-01,['KUBERNETES'],['LINUX'],0.0,0.0,0,['LINUX']
P0,STO-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,STO-03,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,STO-04,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,STO-05,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,STO-06,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P0,VIR-01,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,VIR-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,VIR-03,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P0,GIT-01,"['GIT', 'KUBERNETES']",['GIT'],1.0,0.5,0.67,[]
P0,GIT-02,['GIT'],['GIT'],1.0,1.0,1.0,[]
P0,CI-01,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']","['FILES', 'LINUX']",1.0,0.4,0.57,[]
P0,CI-02,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']",['LINUX'],1.0,0.2,0.33,[]
P0,CI-03,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']",['GIT'],1.0,0.2,0.33,[]
P0,COD-01,['FILES'],['LINUX'],0.0,0.0,0,['LINUX']
P0,COD-02,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']","['FILES', 'LINUX']",1.0,0.4,0.57,[]
P0,COD-03,['FILES'],['FILES'],1.0,1.0,1.0,[]
P0,COD-04,['FILES'],['FILES'],1.0,1.0,1.0,[]
P0,COD-05,['FILES'],['FILES'],1.0,1.0,1.0,[]
P0,COD-06,"['FILES', 'KUBERNETES']",['FILES'],1.0,0.5,0.67,[]
P0,SEC-01,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']",['LINUX'],1.0,0.2,0.33,[]
P0,SEC-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P0,SEC-03,"['FILES', 'GIT', 'KUBERNETES', 'LINUX', 'NETWORK']",['NETWORK'],1.0,0.2,0.33,[]
P0,SEC-04,"['FILES', 'GIT']",['FILES'],1.0,0.5,0.67,[]
P0,X-01,['KUBERNETES'],"['KUBERNETES', 'NETWORK']",0.5,1.0,0.67,['NETWORK']
P0,X-02,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P0,X-03,['LINUX'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['KUBERNETES']
P0,X-04,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
P1,LIN-01,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
P1,LIN-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,LIN-03,['LINUX'],"['FILES', 'LINUX']",0.5,1.0,0.67,['FILES']
P1,LIN-04,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,LIN-05,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,NET-01,"['LINUX', 'NETWORK']","['LINUX', 'NETWORK']",1.0,1.0,1.0,[]
P1,NET-02,"['LINUX', 'NETWORK']","['LINUX', 'NETWORK']",1.0,1.0,1.0,[]
P1,NET-03,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P1,NET-04,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
P1,NET-05,"['LINUX', 'NETWORK']",['NETWORK'],1.0,0.5,0.67,[]
P1,K8S-01,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-03,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-04,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-05,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P1,K8S-06,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-07,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
P1,K8S-08,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
P1,CON-01,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
P1,CON-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
P1,CON-03,"['KUBERNETES', 'NETWORK']","['LINUX', 'NETWORK']",0.5,0.5,0.5,['LINUX']
P1,CON-04,"['KUBERNETES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
