id,groups,req,recall,precision,f1,missed
LIN-01,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
LIN-02,"['FILES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
LIN-03,"['FILES', 'LINUX']","['FILES', 'LINUX']",1.0,1.0,1.0,[]
LIN-04,"['KUBERNETES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
LIN-05,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
NET-01,"['LINUX', 'NETWORK']","['LINUX', 'NETWORK']",1.0,1.0,1.0,[]
NET-02,"['LINUX', 'NETWORK']","['LINUX', 'NETWORK']",1.0,1.0,1.0,[]
NET-03,"['LINUX', 'NETWORK']",['NETWORK'],1.0,0.5,0.67,[]
NET-04,['NETWORK'],['NETWORK'],1.0,1.0,1.0,[]
NET-05,"['LINUX', 'NETWORK']",['NETWORK'],1.0,0.5,0.67,[]
K8S-01,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
K8S-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
K8S-03,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
K8S-04,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
K8S-05,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
K8S-06,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
K8S-07,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
K8S-08,['KUBERNETES'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['LINUX']
CON-01,"['KUBERNETES', 'LINUX']",['KUBERNETES'],1.0,0.5,0.67,[]
CON-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
CON-03,"['KUBERNETES', 'NETWORK']","['LINUX', 'NETWORK']",0.5,0.5,0.5,['LINUX']
CON-04,"['KUBERNETES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
STO-01,['KUBERNETES'],['LINUX'],0.0,0.0,0,['LINUX']
STO-02,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
STO-03,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
STO-04,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
STO-05,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
STO-06,"['KUBERNETES', 'LINUX']","['KUBERNETES', 'LINUX']",1.0,1.0,1.0,[]
VIR-01,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
VIR-02,['LINUX'],['LINUX'],1.0,1.0,1.0,[]
VIR-03,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
GIT-01,['GIT'],['GIT'],1.0,1.0,1.0,[]
GIT-02,['GIT'],['GIT'],1.0,1.0,1.0,[]
CI-01,"['LINUX', 'NETWORK']","['FILES', 'LINUX']",0.5,0.5,0.5,['FILES']
CI-02,"['KUBERNETES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
CI-03,"['KUBERNETES', 'LINUX', 'NETWORK']",['GIT'],0.0,0.0,0,['GIT']
COD-01,"['FILES', 'LINUX']",['LINUX'],1.0,0.5,0.67,[]
COD-02,['LINUX'],"['FILES', 'LINUX']",0.5,1.0,0.67,['FILES']
COD-03,['KUBERNETES'],['FILES'],0.0,0.0,0,['FILES']
COD-04,"['FILES', 'LINUX']",['FILES'],1.0,0.5,0.67,[]
COD-05,"['FILES', 'LINUX']",['FILES'],1.0,0.5,0.67,[]
COD-06,['KUBERNETES'],['FILES'],0.0,0.0,0,['FILES']
SEC-01,"['LINUX', 'NETWORK']",['LINUX'],1.0,0.5,0.67,[]
SEC-02,['KUBERNETES'],['KUBERNETES'],1.0,1.0,1.0,[]
SEC-03,"['LINUX', 'NETWORK']",['NETWORK'],1.0,0.5,0.67,[]
SEC-04,"['FILES', 'GIT']",['FILES'],1.0,0.5,0.67,[]
X-01,"['KUBERNETES', 'LINUX', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,0.67,0.8,[]
X-02,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
X-03,['LINUX'],"['KUBERNETES', 'LINUX']",0.5,1.0,0.67,['KUBERNETES']
X-04,"['KUBERNETES', 'NETWORK']","['KUBERNETES', 'NETWORK']",1.0,1.0,1.0,[]
