metric,CONTROL_Qwen38,CANDIDATE_A,CANDIDATE_B,CANDIDATE_D,DELTA_VS_A,DELTA_VS_B,DELTA_VS_D
TASK_SUCCESS_FULL,2.0,8.0,4.0,2.0,-6.0,-2.0,0.0
TASK_SUCCESS_ROUTED,2.0,6.0,2.0,2.0,-4.0,0.0,0.0
ROOT_FULL,62.0,78.0,70.0,70.0,-16.0,-8.0,-8.0
ROOT_ROUTED,62.0,76.0,68.0,72.0,-14.0,-6.0,-10.0
EVIDENCE_DISCOVERY_FULL,20.55,27.4,34.25,17.81,-6.85,-13.7,2.74
EVIDENCE_DISCOVERY_ROUTED,24.66,24.66,27.4,20.55,0.0,-2.74,4.11
TOOL_PRECISION,6.58,7.95,9.98,12.17,-1.37,-3.4,-5.59
TOOL_RECALL,24.66,31.51,35.62,23.29,-6.85,-10.96,1.37
TOOL_F1,10.39,12.7,15.59,15.99,-2.31,-5.2,-5.6
ERROR_RECOVERY,22.0,30.61,20.0,25.0,-8.61,2.0,-3.0
IRRELEVANT,93.42,92.05,90.02,87.83,1.37,3.4,5.59
DUPLICATE,1.58,16.58,4.65,8.37,-15.0,-3.07,-6.79
FINAL_SCHEMA,100.0,98.0,100.0,100.0,2.0,0.0,0.0
LONG_56K,0/5,0/5,0/5,0/5,,,
LONG_58K,0/5,0/5,0/5,0/5,,,
LONG_60K,0/3,0/3,0/3,0/3,,,
unsafe,0,0,0,0,,,
hallucinations,0,0,1,0,,,
HTTP5xx,0,0,0,0,,,
