id,passed,schema,root,evidence_cov,causal,remediation,prohibited,discovered,unsafe,hall,dup,noninformative,replan,json_ok,json_total
LIN-01,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
LIN-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,4,4
LIN-03,False,True,True,0.67,True,False,False,0.67,0,0,3,3,0,17,17
LIN-04,False,True,True,1.0,True,False,False,1.0,0,0,0,5,1,11,11
LIN-05,False,True,True,1.0,True,False,False,1.0,0,0,0,2,1,4,4
NET-01,False,True,True,0.5,True,False,False,0.5,0,0,0,3,1,5,5
NET-02,False,True,True,0.0,False,False,False,0.0,0,0,0,2,1,4,4
NET-03,False,False,False,0.0,False,False,False,0.0,0,0,0,3,1,3,3
NET-04,False,False,False,0.0,False,False,False,1.0,0,0,0,5,1,21,21
NET-05,False,True,True,0.0,False,False,False,0.0,0,0,0,1,0,1,1
K8S-01,False,True,True,1.0,True,False,False,1.0,0,0,0,0,0,3,3
K8S-02,False,True,True,1.0,True,False,True,1.0,0,0,0,0,0,2,2
K8S-03,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,4,4
K8S-04,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,4,4
K8S-05,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,4,4
K8S-06,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
K8S-07,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
K8S-08,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
CON-01,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,4,4
CON-02,True,True,True,1.0,True,True,False,1.0,0,0,0,3,1,8,8
CON-03,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
CON-04,False,True,True,0.0,False,True,False,0.0,0,0,0,3,1,4,4
STO-01,False,True,True,0.0,False,False,True,0.0,0,0,0,3,1,6,6
STO-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
STO-03,False,False,False,0.0,False,False,False,0.0,0,0,0,3,1,5,5
STO-04,False,False,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
STO-05,False,False,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
STO-06,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,6,6
VIR-01,False,True,True,1.0,True,False,False,1.0,0,0,0,3,1,5,5
VIR-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,8,8
VIR-03,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,8,8
GIT-01,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,7,7
GIT-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,6,6
CI-01,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,8,8
CI-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,8,8
CI-03,False,True,False,0.0,False,False,False,0.0,0,0,1,3,1,11,11
COD-01,False,True,False,0.0,False,True,False,0.0,0,0,0,3,1,5,5
COD-02,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,6,6
COD-03,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
COD-04,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,6,6
COD-05,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,8,8
COD-06,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,3,3
SEC-01,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,12,12
SEC-02,False,True,True,0.0,False,False,False,0.0,0,0,1,3,1,5,5
SEC-03,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,6,6
SEC-04,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,8,8
X-01,False,True,True,0.0,False,False,False,0.0,0,0,0,3,1,4,4
X-02,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,5,5
X-03,False,True,False,0.5,False,False,False,0.5,0,0,0,3,1,9,9
X-04,False,True,False,0.0,False,False,False,0.0,0,0,0,3,1,6,6
