scenario_id,mode,event,latency_s,prompt_tokens,completion_tokens,total_tokens
LIN-01,full,assistant,8.52,1046,56,1102
LIN-01,full,assistant,9.11,1192,59,1251
LIN-01,full,assistant,6.86,1287,40,1327
LIN-01,full,assistant,5.94,1363,32,1395
LIN-01,full,final,54.82,118,428,546
LIN-02,full,assistant,12.09,1046,84,1130
LIN-02,full,assistant,8.23,1193,52,1245
LIN-02,full,assistant,8.09,1276,50,1326
LIN-02,full,assistant,7.84,1357,47,1404
LIN-02,full,final,36.53,85,285,370
LIN-03,full,assistant,26.85,1046,200,1246
LIN-03,full,assistant,18.89,1338,134,1472
LIN-03,full,assistant,19.24,1578,134,1712
LIN-03,full,assistant,10.22,1743,61,1804
LIN-03,full,assistant,7.82,1839,49,1888
LIN-03,full,final,50.27,127,468,595
LIN-04,full,assistant,14.97,1041,126,1167
LIN-04,full,assistant,12.1,1227,97,1324
LIN-04,full,assistant,8.03,1382,57,1439
LIN-04,full,assistant,5.1,1504,28,1532
LIN-04,full,assistant,8.78,1573,62,1635
LIN-04,full,assistant,5.53,1672,30,1702
LIN-04,full,assistant,7.44,1737,47,1784
LIN-04,full,final,32.66,94,305,399
LIN-05,full,assistant,7.37,1045,56,1101
LIN-05,full,assistant,8.73,1173,67,1240
LIN-05,full,assistant,5.04,1277,31,1308
LIN-05,full,assistant,5.24,1343,32,1375
LIN-05,full,final,35.19,98,329,427
NET-01,full,assistant,9.08,1044,72,1116
NET-01,full,assistant,17.02,1174,145,1319
NET-01,full,assistant,7.74,1379,55,1434
NET-01,full,assistant,11.43,1502,88,1590
NET-01,full,assistant,14.09,1649,111,1760
NET-01,full,assistant,8.4,1818,55,1873
NET-01,full,final,47.05,94,441,535
NET-02,full,assistant,17.7,1043,153,1196
NET-02,full,assistant,8.32,1256,62,1318
NET-02,full,assistant,10.27,1378,79,1457
NET-02,full,final,34.82,73,326,399
NET-03,full,assistant,11.41,1044,94,1138
NET-03,full,assistant,7.91,1198,59,1257
NET-03,full,assistant,10.22,1313,79,1392
NET-03,full,final,28.26,74,264,338
NET-04,full,assistant,8.86,1045,70,1115
NET-04,full,assistant,15.01,1192,126,1318
NET-04,full,assistant,14.13,1376,115,1491
NET-04,full,assistant,11.1,1551,84,1635
NET-04,full,final,42.29,98,396,494
NET-05,full,assistant,17.34,1045,150,1195
NET-05,full,assistant,20.34,1277,175,1452
NET-05,full,assistant,8.59,1529,61,1590
NET-05,full,final,23.27,75,217,292
K8S-01,full,assistant,5.68,1046,40,1086
K8S-01,full,assistant,9.93,1128,79,1207
K8S-01,full,assistant,10.18,1295,79,1374
K8S-01,full,assistant,5.38,1428,32,1460
K8S-01,full,assistant,6.76,1495,44,1539
K8S-01,full,final,43.05,130,403,533
K8S-02,full,assistant,4.39,1042,28,1070
K8S-02,full,assistant,4.49,1109,28,1137
K8S-02,full,assistant,4.48,1178,27,1205
K8S-02,full,assistant,5.86,1244,39,1283
K8S-02,full,assistant,6.17,1314,41,1355
K8S-02,full,final,37.39,93,350,443
K8S-03,full,assistant,7.41,1043,56,1099
K8S-03,full,assistant,10.45,1161,83,1244
K8S-03,full,assistant,5.03,1304,30,1334
K8S-03,full,final,33.55,73,314,387
K8S-04,full,assistant,5.82,1044,41,1085
K8S-04,full,assistant,10.01,1120,80,1200
K8S-04,full,assistant,10.32,1254,81,1335
K8S-04,full,final,27.63,74,254,328
K8S-05,full,assistant,10.42,1042,83,1125
K8S-05,full,assistant,14.47,1210,119,1329
K8S-05,full,assistant,5.03,1410,28,1438
K8S-05,full,final,25.8,72,237,309
K8S-06,full,assistant,7.57,1042,57,1099
K8S-06,full,assistant,10.34,1157,81,1238
K8S-06,full,assistant,9.35,1288,70,1358
K8S-06,full,final,33.76,72,311,383
K8S-07,full,assistant,5.51,1042,38,1080
K8S-07,full,assistant,5.84,1115,40,1155
K8S-07,full,assistant,5.89,1186,40,1226
K8S-07,full,final,25.13,72,235,307
K8S-08,full,assistant,4.4,1041,28,1069
K8S-08,full,assistant,10.05,1108,80,1188
K8S-08,full,assistant,5.33,1248,34,1282
K8S-08,full,final,26.05,71,243,314
CON-01,full,assistant,10.55,1046,86,1132
CON-01,full,assistant,8.98,1192,69,1261
CON-01,full,assistant,8.27,1323,60,1383
CON-01,full,final,33.61,76,312,388
CON-02,full,assistant,10.8,1042,87,1129
CON-02,full,assistant,4.67,1191,28,1219
CON-02,full,assistant,9.81,1257,75,1332
CON-02,full,assistant,7.27,1367,50,1417
CON-02,full,final,30.71,79,283,362
CON-03,full,assistant,9.81,1043,79,1122
CON-03,full,assistant,9.48,1180,74,1254
CON-03,full,assistant,10.01,1312,77,1389
CON-03,full,final,32.13,73,301,374
CON-04,full,assistant,16.18,1041,139,1180
CON-04,full,assistant,7.77,1240,57,1297
CON-04,full,assistant,4.91,1334,29,1363
CON-04,full,assistant,5.1,1402,30,1432
CON-04,full,assistant,5.63,1469,34,1503
CON-04,full,assistant,6.3,1540,39,1579
CON-04,full,final,33.73,78,316,394
STO-01,full,assistant,7.37,1049,56,1105
STO-01,full,assistant,5.0,1163,32,1195
STO-01,full,assistant,10.19,1230,80,1310
STO-01,full,final,38.11,78,357,435
STO-02,full,assistant,9.86,1044,79,1123
STO-02,full,assistant,8.11,1181,61,1242
STO-02,full,assistant,8.62,1320,64,1384
STO-02,full,assistant,8.78,1442,64,1506
STO-02,full,assistant,11.3,1556,86,1642
STO-02,full,final,38.84,103,362,465
STO-03,full,assistant,14.7,1043,123,1166
STO-03,full,assistant,16.81,1224,141,1365
STO-03,full,assistant,11.77,1423,92,1515
STO-03,full,final,23.98,73,224,297
STO-04,full,assistant,10.19,1047,82,1129
STO-04,full,assistant,10.59,1187,83,1270
STO-04,full,assistant,8.57,1330,63,1393
STO-04,full,final,41.79,77,392,469
STO-05,full,assistant,9.8,1045,79,1124
STO-05,full,assistant,7.45,1182,55,1237
STO-05,full,assistant,7.69,1274,56,1330
STO-05,full,final,33.52,75,314,389
STO-06,full,assistant,12.04,1043,100,1143
STO-06,full,assistant,7.58,1201,56,1257
STO-06,full,assistant,10.7,1307,82,1389
STO-06,full,final,29.87,72,278,350
VIR-01,full,assistant,8.95,1046,71,1117
VIR-01,full,assistant,8.92,1177,68,1245
VIR-01,full,assistant,9.16,1305,68,1373
VIR-01,full,final,31.72,76,292,368
VIR-02,full,assistant,14.56,1042,122,1164
VIR-02,full,assistant,8.27,1224,61,1285
VIR-02,full,assistant,8.88,1345,65,1410
VIR-02,full,final,28.55,72,263,335
VIR-03,full,assistant,8.74,1039,68,1107
VIR-03,full,assistant,15.44,1168,128,1296
VIR-03,full,assistant,14.51,1354,117,1471
VIR-03,full,assistant,11.5,1531,87,1618
VIR-03,full,final,40.11,75,370,445
GIT-01,full,assistant,7.57,1044,57,1101
GIT-01,full,assistant,4.29,1159,25,1184
GIT-01,full,assistant,9.78,1219,76,1295
GIT-01,full,final,22.7,74,212,286
GIT-02,full,assistant,4.29,1043,27,1070
GIT-02,full,assistant,4.91,1105,32,1137
GIT-02,full,assistant,4.27,1174,25,1199
GIT-02,full,final,29.71,73,278,351
CI-01,full,assistant,12.25,1043,102,1145
CI-01,full,assistant,5.01,1205,31,1236
CI-01,full,assistant,4.46,1271,25,1296
CI-01,full,final,25.89,73,238,311
CI-02,full,assistant,11.66,1040,95,1135
CI-02,full,assistant,7.35,1193,53,1246
CI-02,full,assistant,4.5,1281,25,1306
CI-02,full,final,24.9,70,229,299
CI-03,full,assistant,16.08,1042,136,1178
CI-03,full,assistant,10.31,1259,79,1338
CI-03,full,assistant,10.66,1396,81,1477
CI-03,full,final,33.42,72,308,380
COD-01,full,assistant,11.04,1046,89,1135
COD-01,full,assistant,10.27,1195,80,1275
COD-01,full,assistant,9.07,1341,67,1408
COD-01,full,assistant,5.62,1473,33,1506
COD-01,full,assistant,5.95,1537,35,1572
COD-01,full,assistant,5.96,1609,35,1644
COD-01,full,final,55.65,100,522,622
COD-02,full,assistant,10.68,1042,86,1128
COD-02,full,assistant,10.9,1188,86,1274
COD-02,full,assistant,11.13,1330,86,1416
COD-02,full,final,28.56,72,263,335
COD-03,full,assistant,6.59,1043,48,1091
COD-03,full,assistant,4.56,1128,28,1156
COD-03,full,assistant,4.67,1191,28,1219
COD-03,full,final,28.84,73,266,339
COD-04,full,assistant,15.15,1047,129,1176
COD-04,full,assistant,10.19,1236,80,1316
COD-04,full,assistant,5.17,1370,31,1401
COD-04,full,final,27.55,77,257,334
COD-05,full,assistant,9.32,1042,74,1116
COD-05,full,assistant,8.94,1174,69,1243
COD-05,full,assistant,8.21,1280,61,1341
COD-05,full,final,25.22,72,232,304
COD-06,full,assistant,13.83,1042,115,1157
COD-06,full,assistant,7.08,1217,50,1267
COD-06,full,assistant,5.28,1325,32,1357
COD-06,full,final,32.65,71,301,372
SEC-01,full,assistant,38.25,1042,342,1384
SEC-01,full,assistant,9.97,1494,73,1567
SEC-01,full,assistant,8.51,1627,58,1685
SEC-01,full,final,27.38,72,252,324
SEC-02,full,assistant,5.75,1044,40,1084
SEC-02,full,assistant,10.27,1119,81,1200
SEC-02,full,assistant,4.76,1258,28,1286
SEC-02,full,final,34.61,74,319,393
SEC-03,full,assistant,11.57,1040,94,1134
SEC-03,full,assistant,11.34,1192,90,1282
SEC-03,full,assistant,8.96,1332,66,1398
SEC-03,full,final,28.58,71,263,334
SEC-04,full,assistant,9.94,1041,79,1120
SEC-04,full,assistant,5.11,1209,32,1241
SEC-04,full,assistant,4.45,1278,25,1303
SEC-04,full,final,35.45,71,327,398
X-01,full,assistant,9.51,1046,75,1121
X-01,full,assistant,10.48,1183,82,1265
X-01,full,assistant,10.48,1323,80,1403
X-01,full,final,27.57,76,254,330
X-02,full,assistant,16.2,1040,137,1177
X-02,full,assistant,9.27,1237,70,1307
X-02,full,assistant,7.94,1367,56,1423
X-02,full,final,23.74,70,218,288
X-03,full,assistant,7.93,1041,60,1101
X-03,full,assistant,10.36,1160,81,1241
X-03,full,assistant,10.22,1299,78,1377
X-03,full,assistant,5.55,1435,33,1468
X-03,full,final,29.01,80,267,347
X-04,full,assistant,10.05,1043,80,1123
X-04,full,assistant,9.6,1181,74,1255
X-04,full,assistant,8.62,1313,63,1376
X-04,full,final,27.82,73,256,329
LIN-01,routed,assistant,6.59,416,56,472
LIN-01,routed,assistant,7.39,562,62,624
LIN-01,routed,assistant,5.15,660,40,700
LIN-01,routed,assistant,9.41,736,79,815
LIN-01,routed,final,45.98,118,428,546
LIN-02,routed,assistant,9.52,416,84,500
LIN-02,routed,assistant,6.31,563,52,615
LIN-02,routed,assistant,6.21,646,50,696
LIN-02,routed,assistant,5.99,727,47,774
LIN-02,routed,final,30.67,85,285,370
LIN-03,routed,assistant,40.04,416,370,786
LIN-03,routed,assistant,17.02,894,149,1043
LIN-03,routed,assistant,14.63,1165,121,1286
LIN-03,routed,assistant,8.25,1383,59,1442
LIN-03,routed,assistant,56.8,1477,512,1989
LIN-03,routed,final,49.98,127,468,595
LIN-04,routed,assistant,11.44,411,102,513
LIN-04,routed,assistant,3.85,573,29,602
LIN-04,routed,assistant,4.45,637,34,671
LIN-04,routed,final,29.04,71,271,342
LIN-05,routed,assistant,10.59,415,94,509
LIN-05,routed,assistant,5.43,546,44,590
LIN-05,routed,assistant,5.09,627,40,667
LIN-05,routed,final,25.01,74,232,306
NET-01,routed,assistant,3.71,356,30,386
NET-01,routed,assistant,6.67,421,57,478
NET-01,routed,assistant,3.84,536,29,565
NET-01,routed,assistant,47.9,600,442,1042
