scenario_id,run_id,mode,passed,root_correct,evidence_cov,causal,remediation,prohibited,schema_valid,credited,unrevealed_claimed,fabricated,duration_s
LIN-01,routed_run_LIN-01,routed,False,True,1.0,True,False,False,True,"E1,E2",,,74.5
LIN-02,routed_run_LIN-02,routed,False,False,0.5,False,False,False,True,E1,,,58.7
LIN-03,routed_run_LIN-03,routed,False,True,1.0,True,False,False,True,"E1,E2,E3",,,186.7
LIN-04,routed_run_LIN-04,routed,False,False,0.0,False,False,False,True,,,,48.8
LIN-05,routed_run_LIN-05,routed,False,False,0.0,False,False,False,True,,,,46.1
NET-01,routed_run_NET-01,routed,False,True,0.5,True,False,False,True,E1,,,103.3
NET-02,routed_run_NET-02,routed,False,True,0.0,False,False,False,True,,,,111.2
NET-03,routed_run_NET-03,routed,False,False,0.0,False,True,False,True,,,,90.5
NET-04,routed_run_NET-04,routed,False,True,1.0,True,False,False,True,E1,,,134.5
NET-05,routed_run_NET-05,routed,False,False,0.0,False,False,False,True,,,,74.7
K8S-01,routed_run_K8S-01,routed,False,True,1.0,True,False,False,True,"E1,E2,E3",,,112.6
K8S-02,routed_run_K8S-02,routed,True,True,1.0,True,True,False,True,"E1,E2",,,83.9
K8S-03,routed_run_K8S-03,routed,False,False,0.0,False,False,False,True,,,,50.4
K8S-04,routed_run_K8S-04,routed,False,True,1.0,True,False,False,True,E1,,,64.9
K8S-05,routed_run_K8S-05,routed,False,False,0.0,False,False,False,True,,,,49.5
K8S-06,routed_run_K8S-06,routed,False,True,0.0,False,False,False,True,,,,46.9
K8S-07,routed_run_K8S-07,routed,False,False,0.0,False,False,False,True,,,,38.9
K8S-08,routed_run_K8S-08,routed,False,False,0.0,False,False,False,True,,,,44.3
CON-01,routed_run_CON-01,routed,False,True,0.0,False,False,False,True,,,,47.2
CON-02,routed_run_CON-02,routed,True,True,1.0,True,True,False,True,E1,,,62.8
CON-03,routed_run_CON-03,routed,False,False,0.0,False,False,False,True,,,,47.8
CON-04,routed_run_CON-04,routed,False,True,0.0,False,False,False,True,,,,43.6
STO-01,routed_run_STO-01,routed,False,True,0.0,False,False,False,True,,,,58.5
STO-02,routed_run_STO-02,routed,False,True,1.0,True,False,False,True,"E1,E2",,,73.7
STO-03,routed_run_STO-03,routed,False,False,0.0,False,False,False,True,,,,60.3
STO-04,routed_run_STO-04,routed,False,False,0.0,False,True,False,True,,,,69.8
STO-05,routed_run_STO-05,routed,False,True,0.0,False,True,False,True,,,,60.9
STO-06,routed_run_STO-06,routed,False,False,0.0,False,False,False,True,,,,52.6
VIR-01,routed_run_VIR-01,routed,False,True,1.0,True,False,False,True,E1,,,60.5
VIR-02,routed_run_VIR-02,routed,False,False,0.0,False,False,False,True,,,,60.2
VIR-03,routed_run_VIR-03,routed,False,False,0.5,False,False,True,True,E1,,,85.4
GIT-01,routed_run_GIT-01,routed,False,False,0.0,False,False,False,True,,,,46.1
GIT-02,routed_run_GIT-02,routed,False,False,0.0,False,False,False,True,,,,49.5
CI-01,routed_run_CI-01,routed,False,False,0.0,False,False,False,True,,,,47.4
CI-02,routed_run_CI-02,routed,False,False,0.0,False,False,False,True,,,,48.1
CI-03,routed_run_CI-03,routed,False,False,0.0,False,False,False,True,,,,69.9
COD-01,routed_run_COD-01,routed,False,False,0.0,False,True,False,True,,,,60.9
COD-02,routed_run_COD-02,routed,False,True,0.0,False,False,False,True,,,,60.8
COD-03,routed_run_COD-03,routed,False,True,0.0,False,False,False,True,,,,44.1
COD-04,routed_run_COD-04,routed,False,False,0.0,False,False,False,True,,,,45.7
COD-05,routed_run_COD-05,routed,False,True,0.0,False,False,False,True,,,,48.5
COD-06,routed_run_COD-06,routed,False,True,0.0,False,False,False,True,,,,43.4
SEC-01,routed_run_SEC-01,routed,False,False,0.0,False,False,False,True,,,,83.5
SEC-02,routed_run_SEC-02,routed,False,True,0.0,False,False,False,True,,,,46.7
SEC-03,routed_run_SEC-03,routed,False,False,0.0,False,False,False,True,,,,60.0
SEC-04,routed_run_SEC-04,routed,False,True,0.0,False,False,False,True,,,,54.3
X-01,routed_run_X-01,routed,False,False,0.0,False,False,False,True,,,,48.4
X-02,routed_run_X-02,routed,False,False,0.0,False,False,False,True,,,,52.0
X-03,routed_run_X-03,routed,False,True,0.5,False,False,False,True,E1,,,59.5
X-04,routed_run_X-04,routed,False,False,0.0,False,True,False,True,,,,46.4
