scenario_id,mode,event,latency_s,prompt_tokens,completion_tokens,total_tokens
LIN-01,full,assistant,7.43,1128,56,1184
LIN-01,full,assistant,13.19,1274,108,1382
LIN-01,full,assistant,9.93,1441,75,1516
LIN-01,full,assistant,5.47,1571,31,1602
LIN-01,full,final,80.75,661,751,1412
LIN-02,full,assistant,10.48,1128,84,1212
LIN-02,full,assistant,7.3,1275,52,1327
LIN-02,full,assistant,7.22,1358,50,1408
LIN-02,full,assistant,7.01,1439,47,1486
LIN-02,full,final,56.59,512,525,1037
LIN-03,full,assistant,11.08,1128,90,1218
LIN-03,full,assistant,19.55,1285,168,1453
LIN-03,full,assistant,8.79,1513,63,1576
LIN-03,full,assistant,11.6,1646,88,1734
LIN-03,full,assistant,9.06,1792,62,1854
LIN-03,full,assistant,6.39,1912,35,1947
LIN-03,full,final,86.81,999,807,1806
LIN-04,full,assistant,8.96,1123,70,1193
LIN-04,full,assistant,13.48,1251,111,1362
LIN-04,full,assistant,9.17,1420,68,1488
LIN-04,full,final,70.81,523,661,1184
LIN-05,full,assistant,4.82,1127,31,1158
LIN-05,full,assistant,6.3,1193,44,1237
LIN-05,full,assistant,5.99,1268,40,1308
LIN-05,full,final,0.69,323,2,325
NET-01,full,assistant,8.26,1126,63,1189
NET-01,full,assistant,14.16,1257,116,1373
NET-01,full,assistant,12.9,1432,102,1534
NET-01,full,assistant,11.84,1594,90,1684
NET-01,full,final,73.91,746,683,1429
NET-02,full,assistant,28.02,1125,250,1375
NET-02,full,assistant,24.41,1479,211,1690
NET-02,full,assistant,20.52,1773,170,1943
NET-02,full,final,90.98,999,846,1845
NET-03,full,assistant,12.96,1126,108,1234
NET-03,full,assistant,9.22,1292,70,1362
NET-03,full,assistant,9.39,1416,70,1486
NET-03,full,final,0.95,520,2,522
NET-04,full,assistant,7.99,1127,61,1188
NET-04,full,assistant,11.36,1265,91,1356
NET-04,full,assistant,14.49,1415,118,1533
NET-04,full,assistant,12.16,1591,94,1685
NET-04,full,final,67.5,751,627,1378
NET-05,full,assistant,14.12,1127,119,1246
NET-05,full,assistant,15.44,1351,127,1478
NET-05,full,assistant,14.6,1536,117,1653
NET-05,full,final,1.13,692,2,694
K8S-01,full,assistant,9.94,1128,79,1207
K8S-01,full,assistant,10.23,1295,79,1374
K8S-01,full,assistant,6.27,1432,40,1472
K8S-01,full,assistant,6.58,1514,42,1556
K8S-01,full,assistant,6.79,1591,43,1634
K8S-01,full,assistant,6.61,1669,40,1709
K8S-01,full,final,64.11,784,591,1375
K8S-02,full,assistant,4.54,1124,28,1152
K8S-02,full,assistant,4.63,1191,28,1219
K8S-02,full,assistant,4.61,1260,27,1287
K8S-02,full,assistant,5.99,1326,39,1365
K8S-02,full,assistant,5.44,1396,33,1429
K8S-02,full,final,33.21,469,305,774
K8S-03,full,assistant,7.53,1125,56,1181
K8S-03,full,assistant,5.14,1243,32,1275
K8S-03,full,assistant,6.12,1310,40,1350
K8S-03,full,final,0.73,364,2,366
K8S-04,full,assistant,4.53,1126,28,1154
K8S-04,full,assistant,5.91,1189,40,1229
K8S-04,full,assistant,5.05,1260,31,1291
K8S-04,full,final,47.72,310,442,752
K8S-05,full,assistant,10.53,1124,83,1207
K8S-05,full,assistant,14.83,1292,122,1414
K8S-05,full,assistant,5.08,1495,28,1523
K8S-05,full,final,0.96,540,2,542
K8S-06,full,assistant,5.79,1124,40,1164
K8S-06,full,assistant,10.31,1199,81,1280
K8S-06,full,assistant,5.27,1338,32,1370
K8S-06,full,final,0.77,387,2,389
K8S-07,full,assistant,5.82,1124,40,1164
K8S-07,full,assistant,10.3,1199,81,1280
K8S-07,full,assistant,5.3,1338,32,1370
K8S-07,full,final,0.78,387,2,389
K8S-08,full,assistant,4.51,1123,28,1151
K8S-08,full,assistant,9.63,1190,75,1265
K8S-08,full,assistant,10.32,1325,80,1405
K8S-08,full,final,53.94,440,503,943
CON-01,full,assistant,15.44,1128,131,1259
CON-01,full,assistant,9.03,1321,68,1389
CON-01,full,assistant,8.29,1449,59,1508
CON-01,full,final,75.79,550,703,1253
CON-02,full,assistant,8.7,1124,67,1191
CON-02,full,assistant,4.71,1253,28,1281
CON-02,full,assistant,11.13,1319,87,1406
CON-02,full,assistant,7.47,1464,51,1515
CON-02,full,final,56.32,541,522,1063
CON-03,full,assistant,10.34,1125,83,1208
CON-03,full,assistant,9.26,1268,71,1339
CON-03,full,assistant,5.2,1395,31,1426
CON-03,full,final,90.63,446,850,1296
CON-04,full,assistant,12.45,1123,103,1226
CON-04,full,assistant,4.86,1288,29,1317
CON-04,full,assistant,5.04,1356,30,1386
CON-04,full,assistant,5.14,1423,30,1453
CON-04,full,assistant,5.36,1490,31,1521
CON-04,full,final,55.07,546,512,1058
STO-01,full,assistant,7.9,1131,60,1191
STO-01,full,assistant,7.85,1249,58,1307
STO-01,full,assistant,10.8,1365,84,1449
STO-01,full,final,64.09,487,599,1086
STO-02,full,assistant,8.0,1126,61,1187
STO-02,full,assistant,9.91,1265,77,1342
STO-02,full,assistant,8.48,1400,62,1462
STO-02,full,assistant,8.55,1520,61,1581
STO-02,full,final,57.87,653,537,1190
STO-03,full,assistant,7.95,1125,60,1185
STO-03,full,assistant,9.85,1251,76,1327
STO-03,full,assistant,9.07,1385,67,1452
STO-03,full,assistant,9.26,1510,67,1577
STO-03,full,final,61.62,629,569,1198
STO-04,full,assistant,10.63,1129,85,1214
