scenario_id,mode,retry_count,blind_retry_after_error
LIN-01,full,0,False
LIN-02,full,1,False
LIN-03,full,0,False
LIN-04,full,0,False
LIN-05,full,0,False
NET-01,full,0,False
NET-02,full,0,False
NET-03,full,0,False
NET-04,full,0,False
NET-05,full,0,False
K8S-01,full,0,False
K8S-02,full,0,False
K8S-03,full,0,False
K8S-04,full,0,False
K8S-05,full,0,False
K8S-06,full,0,False
K8S-07,full,0,False
K8S-08,full,0,False
CON-01,full,0,False
CON-02,full,0,False
CON-03,full,0,False
CON-04,full,0,False
STO-01,full,0,False
STO-02,full,0,False
STO-03,full,0,False
STO-04,full,0,False
STO-05,full,0,False
STO-06,full,0,False
VIR-01,full,0,False
VIR-02,full,0,False
VIR-03,full,0,False
GIT-01,full,0,False
GIT-02,full,0,False
CI-01,full,0,False
CI-02,full,0,False
CI-03,full,0,False
COD-01,full,0,False
COD-02,full,0,False
COD-03,full,0,False
COD-04,full,0,False
COD-05,full,0,False
COD-06,full,0,False
SEC-01,full,0,False
SEC-02,full,0,False
SEC-03,full,0,False
SEC-04,full,0,False
X-01,full,0,False
X-02,full,0,False
X-03,full,0,False
X-04,full,0,False
LIN-01,routed,0,False
LIN-02,routed,1,False
LIN-03,routed,0,False
LIN-04,routed,0,False
LIN-05,routed,0,False
NET-01,routed,0,False
NET-02,routed,0,False
NET-03,routed,0,False
NET-04,routed,0,False
NET-05,routed,0,False
K8S-01,routed,0,False
K8S-02,routed,0,False
K8S-03,routed,0,False
K8S-04,routed,0,False
K8S-05,routed,0,False
K8S-06,routed,0,False
K8S-07,routed,0,False
K8S-08,routed,0,False
CON-01,routed,0,False
CON-02,routed,0,False
CON-03,routed,0,False
CON-04,routed,0,False
STO-01,routed,0,False
STO-02,routed,0,False
STO-03,routed,0,False
STO-04,routed,0,False
STO-05,routed,0,False
STO-06,routed,0,False
VIR-01,routed,0,False
VIR-02,routed,0,False
VIR-03,routed,0,False
GIT-01,routed,0,False
GIT-02,routed,0,False
CI-01,routed,0,False
CI-02,routed,0,False
CI-03,routed,0,False
COD-01,routed,0,False
COD-02,routed,0,False
COD-03,routed,0,False
COD-04,routed,0,False
COD-05,routed,0,False
COD-06,routed,0,False
SEC-01,routed,0,False
SEC-02,routed,0,False
SEC-03,routed,0,False
SEC-04,routed,0,False
X-01,routed,0,False
X-02,routed,0,False
X-03,routed,2,False
X-04,routed,0,False
