scenario_id,run_id,mode,passed,root_correct,evidence_cov,causal,remediation,prohibited,schema_valid,credited,unrevealed_claimed,fabricated,duration_s
LIN-01,routed_LIN-01,routed,False,True,1.0,False,True,False,True,"E1,E2",,,96.3
LIN-02,routed_LIN-02,routed,False,False,0.5,False,False,False,True,E1,,,85.8
LIN-03,routed_LIN-03,routed,False,True,1.0,True,False,False,True,"E1,E2,E3",,,122.3
LIN-04,routed_LIN-04,routed,True,True,1.0,True,True,False,True,"E1,E2",,,94.9
LIN-05,routed_LIN-05,routed,True,True,1.0,True,True,False,True,"E1,E2",,,97.2
NET-01,routed_NET-01,routed,False,True,0.5,True,True,False,True,E1,,,99.3
NET-02,routed_NET-02,routed,False,True,0.0,False,False,False,True,,,,157.5
NET-03,routed_NET-03,routed,False,True,0.0,False,False,False,True,,,,138.8
NET-04,routed_NET-04,routed,True,True,1.0,True,True,False,True,E1,,,166.6
NET-05,routed_NET-05,routed,False,False,0.0,False,False,False,True,,,,85.3
K8S-01,routed_K8S-01,routed,False,True,1.0,True,False,True,True,"E1,E2,E3",,,128.0
K8S-02,routed_K8S-02,routed,True,True,1.0,True,True,False,True,"E1,E2",,,80.0
K8S-03,routed_K8S-03,routed,False,False,0.0,False,False,False,True,,,,17.6
K8S-04,routed_K8S-04,routed,False,True,0.0,False,True,False,True,,,,54.0
K8S-05,routed_K8S-05,routed,False,True,1.0,True,False,False,True,E1,,,76.4
K8S-06,routed_K8S-06,routed,False,True,0.0,False,False,True,True,,,,80.2
K8S-07,routed_K8S-07,routed,False,True,0.0,False,False,False,True,,,,69.3
K8S-08,routed_K8S-08,routed,False,False,0.0,False,False,False,True,,,,59.1
CON-01,routed_CON-01,routed,False,True,0.0,False,True,False,True,,,,71.6
CON-02,routed_CON-02,routed,True,True,1.0,True,True,False,True,E1,,,89.1
CON-03,routed_CON-03,routed,False,False,0.0,False,False,False,True,,,,16.2
CON-04,routed_CON-04,routed,False,False,0.0,False,False,False,True,,,,18.7
STO-01,routed_STO-01,routed,False,True,0.0,False,True,False,True,,,,78.0
STO-02,routed_STO-02,routed,False,True,1.0,True,False,False,True,"E1,E2",,,78.1
STO-03,routed_STO-03,routed,False,True,1.0,True,False,False,True,E1,,,97.6
STO-04,routed_STO-04,routed,False,False,0.0,False,False,False,True,,,,40.1
STO-05,routed_STO-05,routed,False,True,1.0,True,False,False,True,E1,,,133.7
STO-06,routed_STO-06,routed,False,False,0.0,False,False,False,True,,,,23.7
VIR-01,routed_VIR-01,routed,True,True,1.0,True,True,False,True,E1,,,99.7
VIR-02,routed_VIR-02,routed,False,True,0.0,False,False,False,True,,,,91.8
VIR-03,routed_VIR-03,routed,False,False,0.5,False,True,False,True,E1,,,112.9
GIT-01,routed_GIT-01,routed,False,False,0.0,False,False,False,True,,,,24.2
GIT-02,routed_GIT-02,routed,False,True,0.0,False,False,True,True,,,,84.2
CI-01,routed_CI-01,routed,False,False,0.0,False,False,False,True,,,,34.1
CI-02,routed_CI-02,routed,False,False,0.0,False,False,False,True,,,,26.6
CI-03,routed_CI-03,routed,False,False,0.0,False,False,False,True,,,,72.3
COD-01,routed_COD-01,routed,False,True,0.0,False,True,False,True,,,,73.2
COD-02,routed_COD-02,routed,False,False,0.0,False,False,False,True,,,,30.6
COD-03,routed_COD-03,routed,False,False,0.0,False,False,False,True,,,,16.3
COD-04,routed_COD-04,routed,False,False,0.0,False,False,False,True,,,,69.9
COD-05,routed_COD-05,routed,False,True,0.0,False,True,False,True,,,,93.1
COD-06,routed_COD-06,routed,False,False,0.0,False,False,False,True,,,,11.7
SEC-01,routed_SEC-01,routed,True,True,1.0,True,True,False,True,E1,,,151.2
SEC-02,routed_SEC-02,routed,False,True,0.0,False,True,False,True,,,,58.8
SEC-03,routed_SEC-03,routed,False,False,0.0,False,False,False,True,,,,41.7
SEC-04,routed_SEC-04,routed,False,True,0.0,False,True,False,True,,,,68.7
X-01,routed_X-01,routed,False,False,0.0,False,False,False,True,,,,22.0
X-02,routed_X-02,routed,False,False,0.0,False,False,False,True,,,,29.6
X-03,routed_X-03,routed,False,True,0.5,False,False,False,True,E1,,,111.9
X-04,routed_X-04,routed,False,False,0.0,False,False,False,True,,,,19.7
