NAME                                       READY   STATUS      RESTARTS   AGE     IP             NODE                         NOMINATED NODE   READINESS GATES
aither-ai-platform-84c478c874-75plb        1/1     Running     0          34h     10.244.0.39    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-bff-57c4447d4-48gvw                 1/1     Running     0          4m7s    10.244.0.76    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-bff-57c4447d4-frsc6                 1/1     Running     0          3m27s   10.244.1.53    bootsmam-k8s-clnt01-n7-gpu   <none>           <none>
aither-identity-67b5994997-2jdvd           1/1     Running     0          3d9h    10.244.0.245   bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-portal-884c69ffc-2ljk9              1/1     Running     0          4h37m   10.244.0.67    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-portal-backend-559754567d-599kk     1/1     Running     0          3d7h    10.244.0.5     bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-portal-frontend-5cc6d99997-btksr    1/1     Running     0          10h     10.244.0.54    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
aither-redis-rate-limit-754cdd9784-stnl6   1/1     Running     0          4d15h   10.244.1.20    bootsmam-k8s-clnt01-n7-gpu   <none>           <none>
nginx-gateway-32b-65786797-k8skw           1/1     Running     0          35h     10.244.1.39    bootsmam-k8s-clnt01-n7-gpu   <none>           <none>
nginx-gateway-32b-65786797-px4rz           1/1     Running     0          35h     10.244.0.36    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
test-curl2                                 0/1     Completed   0          2d      10.244.0.10    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
test-pf                                    0/1     Completed   0          2d      10.244.0.18    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
test-vllm                                  0/1     Completed   0          2d      10.244.0.16    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
test-vllm2                                 0/1     Completed   0          2d      10.244.0.17    bootsman-k8s-clnt01-n8-gpu   <none>           <none>
vllm-14b-instruct-7f6f784dcb-g2h5d         1/1     Running     0          6d22h   10.244.1.3     bootsmam-k8s-clnt01-n7-gpu   <none>           <none>
vllm-32b-gptq-7d6dc7c64-r82nh              1/1     Running     0          6d22h   10.244.1.4     bootsmam-k8s-clnt01-n7-gpu   <none>           <none>
