COMMAND START
UTC TIMESTAMP: 2026-07-26T01:26:49Z
Probe interval: 1s, duration: 180s
2026-07-26T01:26:49Z internet=000000 test=200
2026-07-26T01:26:55Z internet=000000 test=502
2026-07-26T01:27:01Z internet=000000 test=502
2026-07-26T01:27:07Z internet=000000 test=502
2026-07-26T01:27:14Z internet=000000 test=502
2026-07-26T01:27:20Z internet=000000 test=502
2026-07-26T01:27:26Z internet=000000 test=502
2026-07-26T01:27:32Z internet=000000 test=200
2026-07-26T01:27:38Z internet=000000 test=200
2026-07-26T01:27:44Z internet=000000 test=200
2026-07-26T01:27:51Z internet=000000 test=200
2026-07-26T01:27:57Z internet=000000 test=200
2026-07-26T01:28:03Z internet=000000 test=200
2026-07-26T01:28:09Z internet=000000 test=200
2026-07-26T01:28:15Z internet=000000 test=200
2026-07-26T01:28:21Z internet=000000 test=200
2026-07-26T01:28:27Z internet=000000 test=200
2026-07-26T01:28:34Z internet=000000 test=200
2026-07-26T01:28:40Z internet=000000 test=200
2026-07-26T01:28:46Z internet=000000 test=200
2026-07-26T01:28:52Z internet=000000 test=200
2026-07-26T01:28:58Z internet=000000 test=200
2026-07-26T01:29:04Z internet=000000 test=200
2026-07-26T01:29:10Z internet=000000 test=200
2026-07-26T01:29:17Z internet=000000 test=200
2026-07-26T01:29:23Z internet=000000 test=200
2026-07-26T01:29:29Z internet=000000 test=200
2026-07-26T01:29:35Z internet=000000 test=200
2026-07-26T01:29:41Z internet=000000 test=200
2026-07-26T01:29:47Z internet=000000 test=200
PROBE_DONE EXIT_CODE=0
