zone,url,probe_num,timestamp,http_status,latency_seconds,error_type,error_message
test,http://10.129.13.78:30080/health,1,2026-07-26T02:14:53.800663Z,200,0.111,,
internet,https://fb1.spb.ru/health,1,2026-07-26T02:14:53.800272Z,200,5.1418,,
test,http://10.129.13.78:30080/health,2,2026-07-26T02:14:59.944251Z,200,0.107,,
internet,https://fb1.spb.ru/health,2,2026-07-26T02:14:59.943928Z,200,5.1318,,
test,http://10.129.13.78:30080/health,3,2026-07-26T02:15:06.078161Z,200,0.1077,,
internet,https://fb1.spb.ru/health,3,2026-07-26T02:15:06.077604Z,200,5.1344,,
test,http://10.129.13.78:30080/health,4,2026-07-26T02:15:12.214286Z,200,0.1074,,
internet,https://fb1.spb.ru/health,4,2026-07-26T02:15:12.213709Z,200,5.1369,,
test,http://10.129.13.78:30080/health,5,2026-07-26T02:15:18.352765Z,200,0.1067,,
internet,https://fb1.spb.ru/health,5,2026-07-26T02:15:18.352230Z,200,5.1333,,
test,http://10.129.13.78:30080/health,6,2026-07-26T02:15:24.487478Z,200,0.1076,,
internet,https://fb1.spb.ru/health,6,2026-07-26T02:15:24.486999Z,200,5.1372,,
test,http://10.129.13.78:30080/health,7,2026-07-26T02:15:30.626481Z,200,0.1096,,
internet,https://fb1.spb.ru/health,7,2026-07-26T02:15:30.626086Z,200,5.1321,,
test,http://10.129.13.78:30080/health,8,2026-07-26T02:15:36.760109Z,200,0.1085,,
internet,https://fb1.spb.ru/health,8,2026-07-26T02:15:36.759700Z,200,5.1317,,
test,http://10.129.13.78:30080/health,9,2026-07-26T02:15:42.893409Z,200,0.1085,,
internet,https://fb1.spb.ru/health,9,2026-07-26T02:15:42.892931Z,200,5.14,,
test,http://10.129.13.78:30080/health,10,2026-07-26T02:15:49.035033Z,200,0.1078,,
internet,https://fb1.spb.ru/health,10,2026-07-26T02:15:49.034704Z,200,5.1291,,
test,http://10.129.13.78:30080/health,11,2026-07-26T02:15:55.166111Z,200,0.1078,,
internet,https://fb1.spb.ru/health,11,2026-07-26T02:15:55.165345Z,200,5.1366,,
test,http://10.129.13.78:30080/health,12,2026-07-26T02:16:01.303822Z,200,0.107,,
internet,https://fb1.spb.ru/health,12,2026-07-26T02:16:01.303459Z,200,5.1334,,
test,http://10.129.13.78:30080/health,13,2026-07-26T02:16:07.438401Z,200,0.1072,,
